HGNC ID	Status	Approved symbol	Approved name	Previous symbol	Ensembl gene ID	NCBI gene ID
HGNC:21022	Approved	AARS2	alanyl-tRNA synthetase 2, mitochondrial	AARSL	ENSG00000124608	57505
HGNC:28417	Approved	AARSD1	alanyl-tRNA synthetase domain containing 1		ENSG00000266967	80755
HGNC:23993	Approved	AASDH	aminoadipate-semialdehyde dehydrogenase		ENSG00000157426	132949
HGNC:14235	Approved	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase		ENSG00000149313	60496
HGNC:17366	Approved	AASS	aminoadipate-semialdehyde synthase		ENSG00000008311	10157
HGNC:51526	Approved	AATBC	apoptosis associated transcript in bladder cancer		ENSG00000215458	284837
HGNC:19235	Approved	AATF	apoptosis antagonizing transcription factor		ENSG00000275700	26574
HGNC:21	Approved	AATK	apoptosis associated tyrosine kinase		ENSG00000181409	9625
HGNC:22	Approved	AAVS1	adeno-associated virus integration site 1			17
HGNC:49667	Approved	ABALON	apoptotic BCL2L1-antisense long non-coding RNA		ENSG00000281376	103021294
HGNC:23	Approved	ABAT	4-aminobutyrate aminotransferase		ENSG00000183044	18
HGNC:29	Approved	ABCA1	ATP binding cassette subfamily A member 1	ABC1	ENSG00000165029	19
HGNC:29	Approved	ABCA1	ATP binding cassette subfamily A member 1	HDLDT1	ENSG00000165029	19
HGNC:32	Approved	ABCA2	ATP binding cassette subfamily A member 2	ABC2	ENSG00000107331	20
HGNC:33	Approved	ABCA3	ATP binding cassette subfamily A member 3	ABC3	ENSG00000167972	21
HGNC:34	Approved	ABCA4	ATP binding cassette subfamily A member 4	STGD1	ENSG00000198691	24
HGNC:34	Approved	ABCA4	ATP binding cassette subfamily A member 4	ABCR	ENSG00000198691	24
HGNC:34	Approved	ABCA4	ATP binding cassette subfamily A member 4	RP19	ENSG00000198691	24
HGNC:34	Approved	ABCA4	ATP binding cassette subfamily A member 4	STGD	ENSG00000198691	24
HGNC:35	Approved	ABCA5	ATP binding cassette subfamily A member 5		ENSG00000154265	23461
HGNC:36	Approved	ABCA6	ATP binding cassette subfamily A member 6		ENSG00000154262	23460
HGNC:37	Approved	ABCA7	ATP binding cassette subfamily A member 7		ENSG00000064687	10347
HGNC:38	Approved	ABCA8	ATP binding cassette subfamily A member 8		ENSG00000141338	10351
HGNC:39	Approved	ABCA9	ATP binding cassette subfamily A member 9		ENSG00000154258	10350
HGNC:39983	Approved	ABCA9-AS1	ABCA9 antisense RNA 1		ENSG00000231749	104355297
HGNC:30	Approved	ABCA10	ATP binding cassette subfamily A member 10		ENSG00000154263	10349
HGNC:31	Approved	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	ABCA11	ENSG00000251595	79963
HGNC:14637	Approved	ABCA12	ATP binding cassette subfamily A member 12	ICR2B	ENSG00000144452	26154
HGNC:14638	Approved	ABCA13	ATP binding cassette subfamily A member 13		ENSG00000179869	154664
HGNC:32972	Approved	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene		ENSG00000238098	650655
HGNC:40	Approved	ABCB1	ATP binding cassette subfamily B member 1	PGY1	ENSG00000085563	5243
HGNC:40	Approved	ABCB1	ATP binding cassette subfamily B member 1	MDR1	ENSG00000085563	5243
HGNC:40	Approved	ABCB1	ATP binding cassette subfamily B member 1	CLCS	ENSG00000085563	5243
HGNC:45	Approved	ABCB4	ATP binding cassette subfamily B member 4	PGY3	ENSG00000005471	5244
HGNC:45	Approved	ABCB4	ATP binding cassette subfamily B member 4	MDR3	ENSG00000005471	5244
HGNC:46	Approved	ABCB5	ATP binding cassette subfamily B member 5		ENSG00000004846	340273
HGNC:47	Approved	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)		ENSG00000115657	10058
HGNC:48	Approved	ABCB7	ATP binding cassette subfamily B member 7	ABC7	ENSG00000131269	22
HGNC:49	Approved	ABCB8	ATP binding cassette subfamily B member 8		ENSG00000197150	11194
HGNC:50	Approved	ABCB9	ATP binding cassette subfamily B member 9		ENSG00000150967	23457
HGNC:41	Approved	ABCB10	ATP binding cassette subfamily B member 10		ENSG00000135776	23456
HGNC:14114	Approved	ABCB10P1	ABCB10 pseudogene 1	ABCB10P	ENSG00000274099	56476
HGNC:14114	Approved	ABCB10P1	ABCB10 pseudogene 1	ABCB10P2	ENSG00000274099	56476
HGNC:31129	Approved	ABCB10P3	ABCB10 pseudogene 3		ENSG00000261524	728248
HGNC:31130	Approved	ABCB10P4	ABCB10 pseudogene 4		ENSG00000260053	100132289
HGNC:42	Approved	ABCB11	ATP binding cassette subfamily B member 11	BSEP	ENSG00000073734	8647
HGNC:42	Approved	ABCB11	ATP binding cassette subfamily B member 11	PFIC2	ENSG00000073734	8647
HGNC:51	Approved	ABCC1	ATP binding cassette subfamily C member 1	MRP	ENSG00000103222	4363
HGNC:51	Approved	ABCC1	ATP binding cassette subfamily C member 1	MRP1	ENSG00000103222	4363
HGNC:53	Approved	ABCC2	ATP binding cassette subfamily C member 2	CMOAT	ENSG00000023839	1244
HGNC:54	Approved	ABCC3	ATP binding cassette subfamily C member 3		ENSG00000108846	8714
HGNC:55	Approved	ABCC4	ATP binding cassette subfamily C member 4		ENSG00000125257	10257
HGNC:56	Approved	ABCC5	ATP binding cassette subfamily C member 5		ENSG00000114770	10057
HGNC:40055	Approved	ABCC5-AS1	ABCC5 antisense RNA 1		ENSG00000223882	100873982
HGNC:57	Approved	ABCC6	ATP binding cassette subfamily C member 6	ARA	ENSG00000091262	368
HGNC:57	Approved	ABCC6	ATP binding cassette subfamily C member 6	PXE	ENSG00000091262	368
HGNC:33352	Approved	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1		ENSG00000256340	653190
HGNC:33353	Approved	ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2		ENSG00000255277	730013
HGNC:59	Approved	ABCC8	ATP binding cassette subfamily C member 8	SUR	ENSG00000006071	6833
HGNC:59	Approved	ABCC8	ATP binding cassette subfamily C member 8	HRINS	ENSG00000006071	6833
HGNC:60	Approved	ABCC9	ATP binding cassette subfamily C member 9		ENSG00000069431	10060
HGNC:52	Approved	ABCC10	ATP binding cassette subfamily C member 10		ENSG00000124574	89845
HGNC:14639	Approved	ABCC11	ATP binding cassette subfamily C member 11		ENSG00000121270	85320
HGNC:14640	Approved	ABCC12	ATP binding cassette subfamily C member 12		ENSG00000140798	94160
HGNC:16022	Approved	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)		ENSG00000243064	150000
HGNC:61	Approved	ABCD1	ATP binding cassette subfamily D member 1	ALD	ENSG00000101986	215
HGNC:62	Approved	ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1			23785
HGNC:63	Approved	ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2		ENSG00000215151	26983
HGNC:64	Approved	ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3		ENSG00000261233	26982
HGNC:65	Approved	ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4		ENSG00000225293	26957
HGNC:42662	Approved	ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5		ENSG00000214330	642762
HGNC:66	Approved	ABCD2	ATP binding cassette subfamily D member 2	ALDL1	ENSG00000173208	225
HGNC:67	Approved	ABCD3	ATP binding cassette subfamily D member 3	PXMP1	ENSG00000117528	5825
HGNC:68	Approved	ABCD4	ATP binding cassette subfamily D member 4	PXMP1L	ENSG00000119688	5826
HGNC:69	Approved	ABCE1	ATP binding cassette subfamily E member 1	RNASEL1	ENSG00000164163	6059
HGNC:69	Approved	ABCE1	ATP binding cassette subfamily E member 1	RNASELI	ENSG00000164163	6059
HGNC:69	Approved	ABCE1	ATP binding cassette subfamily E member 1	RNS4I	ENSG00000164163	6059
HGNC:70	Approved	ABCF1	ATP binding cassette subfamily F member 1	ABC50	ENSG00000204574	23
HGNC:53628	Approved	ABCF1-DT	ABCF1 divergent transcript			107986587
HGNC:71	Approved	ABCF2	ATP binding cassette subfamily F member 2		ENSG00000033050	10061
HGNC:54751	Approved	ABCF2-H2BE1	ABCF2-H2BE1 readthrough		ENSG00000285292	114483834
HGNC:48841	Approved	ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1		ENSG00000242159	344653
HGNC:48842	Approved	ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2		ENSG00000228769	100422059
HGNC:72	Approved	ABCF3	ATP binding cassette subfamily F member 3		ENSG00000161204	55324
HGNC:73	Approved	ABCG1	ATP binding cassette subfamily G member 1		ENSG00000160179	9619
HGNC:74	Approved	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)		ENSG00000118777	9429
HGNC:13884	Approved	ABCG4	ATP binding cassette subfamily G member 4		ENSG00000172350	64137
HGNC:13886	Approved	ABCG5	ATP binding cassette subfamily G member 5		ENSG00000138075	64240
HGNC:13887	Approved	ABCG8	ATP binding cassette subfamily G member 8		ENSG00000143921	64241
HGNC:17553	Approved	ABHD1	abhydrolase domain containing 1		ENSG00000143994	84696
HGNC:18717	Approved	ABHD2	abhydrolase domain containing 2, acylglycerol lipase		ENSG00000140526	11057
HGNC:18718	Approved	ABHD3	abhydrolase domain containing 3, phospholipase		ENSG00000158201	171586
HGNC:20154	Approved	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B		ENSG00000100439	63874
HGNC:21396	Approved	ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase		ENSG00000011198	51099
HGNC:21398	Approved	ABHD6	abhydrolase domain containing 6, acylglycerol lipase		ENSG00000163686	57406
HGNC:23759	Approved	ABHD8	abhydrolase domain containing 8		ENSG00000127220	79575
HGNC:25656	Approved	ABHD10	abhydrolase domain containing 10, depalmitoylase		ENSG00000144827	55347
HGNC:16407	Approved	ABHD11	abhydrolase domain containing 11	WBSCR21	ENSG00000106077	83451
HGNC:18289	Approved	ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	WBSCR26	ENSG00000225969	171022
HGNC:18289	Approved	ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	LINC00035	ENSG00000225969	171022
HGNC:40012	Entry Withdrawn	ABHD11-AS2	ABHD11 antisense RNA 2			
HGNC:15868	Approved	ABHD12	abhydrolase domain containing 12, lysophospholipase	C20orf22	ENSG00000100997	26090
HGNC:19837	Approved	ABHD12B	abhydrolase domain containing 12B	C14orf29	ENSG00000131969	145447
HGNC:20293	Approved	ABHD13	abhydrolase domain containing 13	C13orf6	ENSG00000139826	84945
HGNC:24538	Approved	ABHD14A	abhydrolase domain containing 14A		ENSG00000248487	25864
HGNC:38856	Approved	ABHD14A-ACY1	ABHD14A-ACY1 readthrough		ENSG00000114786	100526760
HGNC:28235	Approved	ABHD14B	abhydrolase domain containing 14B		ENSG00000114779	84836
HGNC:26971	Approved	ABHD15	abhydrolase domain containing 15		ENSG00000168792	116236
HGNC:49685	Approved	ABHD15-AS1	ABHD15 antisense RNA 1		ENSG00000264031	104355133
HGNC:13921	Approved	ABHD16A	abhydrolase domain containing 16A, phospholipase	BAT5	ENSG00000204427	7920
HGNC:16128	Approved	ABHD16B	abhydrolase domain containing 16B	C20orf135	ENSG00000183260	140701
HGNC:28756	Approved	ABHD17A	abhydrolase domain containing 17A, depalmitoylase	C19orf27	ENSG00000129968	81926
HGNC:28756	Approved	ABHD17A	abhydrolase domain containing 17A, depalmitoylase	FAM108A1	ENSG00000129968	81926
HGNC:28394	Approved	ABHD17AP1	ABHD17A pseudogene 1	FAM108A2	ENSG00000198658	728917
HGNC:28394	Approved	ABHD17AP1	ABHD17A pseudogene 1	ABHD17AP2	ENSG00000198658	728917
HGNC:28394	Approved	ABHD17AP1	ABHD17A pseudogene 1	FAM108A3	ENSG00000198658	728917
HGNC:28394	Approved	ABHD17AP1	ABHD17A pseudogene 1	FAM108A11P	ENSG00000198658	728917
HGNC:28394	Approved	ABHD17AP1	ABHD17A pseudogene 1	FAM108A3P	ENSG00000198658	728917
HGNC:34041	Approved	ABHD17AP3	ABHD17A pseudogene 3	FAM108A4	ENSG00000250536	648359
HGNC:34041	Approved	ABHD17AP3	ABHD17A pseudogene 3	FAM108A4P	ENSG00000250536	648359
HGNC:34042	Approved	ABHD17AP4	ABHD17A pseudogene 4	FAM108A5	ENSG00000229107	729495
HGNC:34042	Approved	ABHD17AP4	ABHD17A pseudogene 4	FAM108A5P	ENSG00000229107	729495
HGNC:34043	Approved	ABHD17AP5	ABHD17A pseudogene 5	FAM108A6	ENSG00000263366	91219
HGNC:34043	Approved	ABHD17AP5	ABHD17A pseudogene 5	FAM108A6P	ENSG00000263366	91219
HGNC:34044	Approved	ABHD17AP6	ABHD17A pseudogene 6	FAM108A7P	ENSG00000226981	644988
HGNC:38508	Approved	ABHD17AP7	ABHD17A pseudogene 7	FAM108A8P	ENSG00000260864	100133212
HGNC:38509	Approved	ABHD17AP8	ABHD17A pseudogene 8	FAM108A9P	ENSG00000260540	647144
HGNC:38510	Approved	ABHD17AP9	ABHD17A pseudogene 9	FAM108A10P	ENSG00000261536	100132251
HGNC:24278	Approved	ABHD17B	abhydrolase domain containing 17B, depalmitoylase	C9orf77	ENSG00000107362	51104
HGNC:24278	Approved	ABHD17B	abhydrolase domain containing 17B, depalmitoylase	FAM108B1	ENSG00000107362	51104
HGNC:26925	Approved	ABHD17C	abhydrolase domain containing 17C, depalmitoylase	FAM108C1	ENSG00000136379	58489
HGNC:26111	Approved	ABHD18	abhydrolase domain containing 18	C4orf29	ENSG00000164074	80167
HGNC:11320	Approved	ABI1	abl interactor 1	SSH3BP1	ENSG00000136754	10006
HGNC:20035	Approved	ABI1P1	abl interactor 1 pseudogene 1	SSH3BP1P	ENSG00000271484	326268
HGNC:20035	Approved	ABI1P1	abl interactor 1 pseudogene 1	ABI1P	ENSG00000271484	326268
HGNC:24011	Approved	ABI2	abl interactor 2		ENSG00000138443	10152
HGNC:29859	Approved	ABI3	ABI family member 3		ENSG00000108798	51225
HGNC:17265	Approved	ABI3BP	ABI family member 3 binding protein		ENSG00000154175	25890
HGNC:1364	Approved	ABITRAM	actin binding transcription modulator	C9orf6	ENSG00000119328	54942
HGNC:1364	Approved	ABITRAM	actin binding transcription modulator	FAM206A	ENSG00000119328	54942
HGNC:39851	Approved	ABITRAMP1	ABITRAM pseudogene 1	FAM206BP	ENSG00000251106	390403
HGNC:76	Approved	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	ABL	ENSG00000097007	25
HGNC:77	Approved	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	ABLL	ENSG00000143322	27
HGNC:78	Approved	ABLIM1	actin binding LIM protein 1	LIMAB1	ENSG00000099204	3983
HGNC:78	Approved	ABLIM1	actin binding LIM protein 1	ABLIM	ENSG00000099204	3983
HGNC:19195	Approved	ABLIM2	actin binding LIM protein family member 2		ENSG00000163995	84448
HGNC:29132	Approved	ABLIM3	actin binding LIM protein family member 3		ENSG00000173210	22885
HGNC:79	Approved	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase		ENSG00000175164	28
HGNC:81	Approved	ABR	ABR activator of RhoGEF and GTPase		ENSG00000159842	29
HGNC:30655	Approved	ABRA	actin binding Rho activating protein		ENSG00000174429	137735
HGNC:21230	Approved	ABRACL	ABRA C-terminal like	C6orf115	ENSG00000146386	58527
HGNC:25829	Approved	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	CCDC98	ENSG00000163322	84142
HGNC:25829	Approved	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	FAM175A	ENSG00000163322	84142
HGNC:28975	Approved	ABRAXAS2	abraxas 2, BRISC complex subunit	KIAA0157	ENSG00000165660	23172
HGNC:28975	Approved	ABRAXAS2	abraxas 2, BRISC complex subunit	FAM175B	ENSG00000165660	23172
HGNC:17369	Approved	ABT1	activator of basal transcription 1		ENSG00000146109	29777
HGNC:39557	Approved	ABT1P1	activator of basal transcription 1 pseudogene 1		ENSG00000250496	100420695
HGNC:18275	Approved	ABTB1	ankyrin repeat and BTB domain containing 1		ENSG00000114626	80325
HGNC:23842	Approved	ABTB2	ankyrin repeat and BTB domain containing 2		ENSG00000166016	25841
HGNC:82	Approved	ACAA1	acetyl-CoA acyltransferase 1		ENSG00000060971	30
HGNC:83	Approved	ACAA2	acetyl-CoA acyltransferase 2		ENSG00000167315	10449
HGNC:84	Approved	ACACA	acetyl-CoA carboxylase alpha	ACAC	ENSG00000278540	31
HGNC:84	Approved	ACACA	acetyl-CoA carboxylase alpha	ACC	ENSG00000278540	31
HGNC:85	Approved	ACACB	acetyl-CoA carboxylase beta		ENSG00000076555	32
HGNC:86	Entry Withdrawn	ACAD	acyl-Coenzyme A dehydrogenase, multiple (chr X)			
HGNC:87	Approved	ACAD8	acyl-CoA dehydrogenase family member 8		ENSG00000151498	27034
HGNC:21497	Approved	ACAD9	acyl-CoA dehydrogenase family member 9		ENSG00000177646	28976
HGNC:21597	Approved	ACAD10	acyl-CoA dehydrogenase family member 10		ENSG00000111271	80724
HGNC:30211	Approved	ACAD11	acyl-CoA dehydrogenase family member 11		ENSG00000240303	84129
HGNC:88	Approved	ACADL	acyl-CoA dehydrogenase long chain		ENSG00000115361	33
HGNC:89	Approved	ACADM	acyl-CoA dehydrogenase medium chain		ENSG00000117054	34
HGNC:90	Approved	ACADS	acyl-CoA dehydrogenase short chain		ENSG00000122971	35
HGNC:91	Approved	ACADSB	acyl-CoA dehydrogenase short/branched chain		ENSG00000196177	36
HGNC:92	Approved	ACADVL	acyl-CoA dehydrogenase very long chain		ENSG00000072778	37
HGNC:319	Approved	ACAN	aggrecan	MSK16	ENSG00000157766	176
HGNC:319	Approved	ACAN	aggrecan	CSPG1	ENSG00000157766	176
HGNC:319	Approved	ACAN	aggrecan	AGC1	ENSG00000157766	176
HGNC:16467	Approved	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	CENTB1	ENSG00000072818	9744
HGNC:16469	Approved	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	CENTB2	ENSG00000114331	23527
HGNC:41426	Approved	ACAP2-IT1	ACAP2 intronic transcript 1		ENSG00000229325	100874306
HGNC:16754	Approved	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	CENTB5	ENSG00000131584	116983
HGNC:93	Approved	ACAT1	acetyl-CoA acetyltransferase 1	ACAT	ENSG00000075239	38
HGNC:94	Approved	ACAT2	acetyl-CoA acetyltransferase 2		ENSG00000120437	39
HGNC:15453	Approved	ACBD3	acyl-CoA binding domain containing 3	GOLPH1	ENSG00000182827	64746
HGNC:15453	Approved	ACBD3	acyl-CoA binding domain containing 3	GOCAP1	ENSG00000182827	64746
HGNC:40701	Approved	ACBD3-AS1	ACBD3 antisense RNA 1		ENSG00000234478	107985353
HGNC:23337	Approved	ACBD4	acyl-CoA binding domain containing 4		ENSG00000181513	79777
HGNC:23338	Approved	ACBD5	acyl-CoA binding domain containing 5		ENSG00000107897	91452
HGNC:23339	Approved	ACBD6	acyl-CoA binding domain containing 6		ENSG00000230124	84320
HGNC:17715	Approved	ACBD7	acyl-CoA binding domain containing 7		ENSG00000176244	414149
HGNC:23989	Approved	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)		ENSG00000110455	84680
HGNC:34391	Approved	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like		ENSG00000205126	390110
HGNC:25070	Approved	ACD	ACD shelterin complex subunit and telomerase recruitment factor		ENSG00000102977	65057
HGNC:2707	Approved	ACE	angiotensin I converting enzyme	DCP1	ENSG00000159640	1636
HGNC:13557	Approved	ACE2	angiotensin I converting enzyme 2		ENSG00000130234	59272
HGNC:44365	Approved	ACE3P	angiotensin I converting enzyme 3, pseudogene		ENSG00000224353	100129123
HGNC:18356	Approved	ACER1	alkaline ceramidase 1	ASAH3	ENSG00000167769	125981
HGNC:23675	Approved	ACER2	alkaline ceramidase 2	ASAH3L	ENSG00000177076	340485
HGNC:54674	Approved	ACER2P1	ACER2 pseudogene 1		ENSG00000180105	645978
HGNC:16066	Approved	ACER3	alkaline ceramidase 3	PHCA	ENSG00000078124	55331
HGNC:108	Approved	ACHE	acetylcholinesterase (Cartwright blood group)	YT	ENSG00000087085	43
HGNC:17066	Approved	ACIN1	apoptotic chromatin condensation inducer 1	ACINUS	ENSG00000100813	22985
HGNC:4035	Approved	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	FY	ENSG00000213088	2532
HGNC:4035	Approved	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	DARC	ENSG00000213088	2532
HGNC:1565	Approved	ACKR2	atypical chemokine receptor 2	CMKBR9	ENSG00000144648	1238
HGNC:1565	Approved	ACKR2	atypical chemokine receptor 2	CCBP2	ENSG00000144648	1238
HGNC:23692	Approved	ACKR3	atypical chemokine receptor 3	CMKOR1	ENSG00000144476	57007
HGNC:23692	Approved	ACKR3	atypical chemokine receptor 3	CXCR7	ENSG00000144476	57007
HGNC:1611	Approved	ACKR4	atypical chemokine receptor 4	CCRL1	ENSG00000129048	51554
HGNC:21142	Approved	ACKR4P1	ACKR4 pseudogene 1	CCRL1P	ENSG00000225415	285737
HGNC:21142	Approved	ACKR4P1	ACKR4 pseudogene 1	CCRL1P1	ENSG00000225415	285737
HGNC:114	Entry Withdrawn	ACLS	acrocallosal syndrome			
HGNC:115	Approved	ACLY	ATP citrate lyase		ENSG00000131473	47
HGNC:116	Entry Withdrawn	ACMG	acromegaly			
HGNC:19288	Approved	ACMSD	aminocarboxymuconate semialdehyde decarboxylase		ENSG00000153086	130013
HGNC:34504	Approved	ACNATP	acyl-CoA:amino acid N-acyltransferase pseudogene	BAATP1	ENSG00000227411	347275
HGNC:117	Approved	ACO1	aconitase 1	IREB1	ENSG00000122729	48
HGNC:118	Approved	ACO2	aconitase 2		ENSG00000100412	50
HGNC:33904	Approved	ACOD1	aconitate decarboxylase 1	IRG1	ENSG00000102794	730249
HGNC:33128	Approved	ACOT1	acyl-CoA thioesterase 1		ENSG00000184227	641371
HGNC:18431	Approved	ACOT2	acyl-CoA thioesterase 2		ENSG00000119673	10965
HGNC:19748	Approved	ACOT4	acyl-CoA thioesterase 4		ENSG00000177465	122970
HGNC:33159	Approved	ACOT6	acyl-CoA thioesterase 6	C14orf42	ENSG00000205669	641372
HGNC:24157	Approved	ACOT7	acyl-CoA thioesterase 7		ENSG00000097021	11332
HGNC:15919	Approved	ACOT8	acyl-CoA thioesterase 8	PTE1	ENSG00000101473	10005
HGNC:17152	Approved	ACOT9	acyl-CoA thioesterase 9		ENSG00000123130	23597
HGNC:18156	Approved	ACOT11	acyl-CoA thioesterase 11	THEA	ENSG00000162390	26027
HGNC:24436	Approved	ACOT12	acyl-CoA thioesterase 12		ENSG00000172497	134526
HGNC:20999	Approved	ACOT13	acyl-CoA thioesterase 13	THEM2	ENSG00000112304	55856
HGNC:119	Approved	ACOX1	acyl-CoA oxidase 1		ENSG00000161533	51
HGNC:120	Approved	ACOX2	acyl-CoA oxidase 2		ENSG00000168306	8309
HGNC:121	Approved	ACOX3	acyl-CoA oxidase 3, pristanoyl		ENSG00000087008	8310
HGNC:25621	Approved	ACOXL	acyl-CoA oxidase like		ENSG00000153093	55289
HGNC:41112	Approved	ACOXL-AS1	ACOXL antisense RNA 1		ENSG00000204581	400997
HGNC:122	Approved	ACP1	acid phosphatase 1		ENSG00000143727	52
HGNC:123	Approved	ACP2	acid phosphatase 2, lysosomal		ENSG00000134575	53
HGNC:125	Approved	ACP3	acid phosphatase 3	ACPP	ENSG00000014257	55
HGNC:14376	Approved	ACP4	acid phosphatase 4	ACPT	ENSG00000142513	93650
HGNC:124	Approved	ACP5	acid phosphatase 5, tartrate resistant		ENSG00000102575	54
HGNC:29609	Approved	ACP6	acid phosphatase 6, lysophosphatidic		ENSG00000162836	51205
HGNC:33781	Approved	ACP7	acid phosphatase 7, tartrate resistant (putative)		ENSG00000183760	390928
HGNC:126	Approved	ACR	acrosin		ENSG00000100312	49
HGNC:17195	Approved	ACRBP	acrosin binding protein		ENSG00000111644	84519
